Area,Demand,Season,Time,Situation,Optimization
Arabia,Low,Summer,Weekday,Baseline,
Arabia,Low,Summer,Weekday,Optimized,Equal
Arabia,Low,Summer,Weekday,Optimized,Traffic1
Arabia,Low,Summer,Weekday,Optimized,Traffic2
Arabia,Low,Summer,Weekend,Baseline,
Arabia,Low,Summer,Weekend,Optimized,Equal
Arabia,Low,Summer,Weekend,Optimized,Traffic1
Arabia,Low,Summer,Weekend,Optimized,Traffic2
Arabia,Low,Winter,Weekday,Baseline,
Arabia,Low,Winter,Weekday,Optimized,Equal
Arabia,Low,Winter,Weekday,Optimized,Traffic1
Arabia,Low,Winter,Weekday,Optimized,Traffic2
Arabia,Low,Winter,Weekend,Baseline,
Arabia,Low,Winter,Weekend,Optimized,Equal
Arabia,Low,Winter,Weekend,Optimized,Traffic1
Arabia,Low,Winter,Weekend,Optimized,Traffic2
Arabia,Regular,Summer,Weekday,Baseline,
Arabia,Regular,Summer,Weekday,Optimized,Equal
Arabia,Regular,Summer,Weekday,Optimized,Traffic1
Arabia,Regular,Summer,Weekday,Optimized,Traffic2
Arabia,Regular,Summer,Weekend,Baseline,
Arabia,Regular,Summer,Weekend,Optimized,Equal
Arabia,Regular,Summer,Weekend,Optimized,Traffic1
Arabia,Regular,Summer,Weekend,Optimized,Traffic2
Arabia,Regular,Winter,Weekday,Baseline,
Arabia,Regular,Winter,Weekday,Optimized,Equal
Arabia,Regular,Winter,Weekday,Optimized,Traffic1
Arabia,Regular,Winter,Weekday,Optimized,Traffic2
Arabia,Regular,Winter,Weekend,Baseline,
Arabia,Regular,Winter,Weekend,Optimized,Equal
Arabia,Regular,Winter,Weekend,Optimized,Traffic1
Arabia,Regular,Winter,Weekend,Optimized,Traffic2
Arabia,High,Summer,Weekday,Baseline,
Arabia,High,Summer,Weekday,Optimized,Equal
Arabia,High,Summer,Weekday,Optimized,Traffic1
Arabia,High,Summer,Weekday,Optimized,Traffic2
Arabia,High,Summer,Weekend,Baseline,
Arabia,High,Summer,Weekend,Optimized,Equal
Arabia,High,Summer,Weekend,Optimized,Traffic1
Arabia,High,Summer,Weekend,Optimized,Traffic2
Arabia,High,Winter,Weekday,Baseline,
Arabia,High,Winter,Weekday,Optimized,Equal
Arabia,High,Winter,Weekday,Optimized,Traffic1
Arabia,High,Winter,Weekday,Optimized,Traffic2
Arabia,High,Winter,Weekend,Baseline,
Arabia,High,Winter,Weekend,Optimized,Equal
Arabia,High,Winter,Weekend,Optimized,Traffic1
Arabia,High,Winter,Weekend,Optimized,Traffic2
Jätkäsaari,Low,Summer,Weekday,Baseline,
Jätkäsaari,Low,Summer,Weekday,Optimized,Equal
Jätkäsaari,Low,Summer,Weekday,Optimized,Traffic1
Jätkäsaari,Low,Summer,Weekday,Optimized,Traffic2
Jätkäsaari,Low,Summer,Weekend,Baseline,
Jätkäsaari,Low,Summer,Weekend,Optimized,Equal
Jätkäsaari,Low,Summer,Weekend,Optimized,Traffic1
Jätkäsaari,Low,Summer,Weekend,Optimized,Traffic2
Jätkäsaari,Low,Winter,Weekday,Baseline,
Jätkäsaari,Low,Winter,Weekday,Optimized,Equal
Jätkäsaari,Low,Winter,Weekday,Optimized,Traffic1
Jätkäsaari,Low,Winter,Weekday,Optimized,Traffic2
Jätkäsaari,Low,Winter,Weekend,Baseline,
Jätkäsaari,Low,Winter,Weekend,Optimized,Equal
Jätkäsaari,Low,Winter,Weekend,Optimized,Traffic1
Jätkäsaari,Low,Winter,Weekend,Optimized,Traffic2
Jätkäsaari,Regular,Summer,Weekday,Baseline,
Jätkäsaari,Regular,Summer,Weekday,Optimized,Equal
Jätkäsaari,Regular,Summer,Weekday,Optimized,Traffic1
Jätkäsaari,Regular,Summer,Weekday,Optimized,Traffic2
Jätkäsaari,Regular,Summer,Weekend,Baseline,
Jätkäsaari,Regular,Summer,Weekend,Optimized,Equal
Jätkäsaari,Regular,Summer,Weekend,Optimized,Traffic1
Jätkäsaari,Regular,Summer,Weekend,Optimized,Traffic2
Jätkäsaari,Regular,Winter,Weekday,Baseline,
Jätkäsaari,Regular,Winter,Weekday,Optimized,Equal
Jätkäsaari,Regular,Winter,Weekday,Optimized,Traffic1
Jätkäsaari,Regular,Winter,Weekday,Optimized,Traffic2
Jätkäsaari,Regular,Winter,Weekend,Baseline,
Jätkäsaari,Regular,Winter,Weekend,Optimized,Equal
Jätkäsaari,Regular,Winter,Weekend,Optimized,Traffic1
Jätkäsaari,Regular,Winter,Weekend,Optimized,Traffic2
Jätkäsaari,High,Summer,Weekday,Baseline,
Jätkäsaari,High,Summer,Weekday,Optimized,Equal
Jätkäsaari,High,Summer,Weekday,Optimized,Traffic1
Jätkäsaari,High,Summer,Weekday,Optimized,Traffic2
Jätkäsaari,High,Summer,Weekend,Baseline,
Jätkäsaari,High,Summer,Weekend,Optimized,Equal
Jätkäsaari,High,Summer,Weekend,Optimized,Traffic1
Jätkäsaari,High,Summer,Weekend,Optimized,Traffic2
Jätkäsaari,High,Winter,Weekday,Baseline,
Jätkäsaari,High,Winter,Weekday,Optimized,Equal
Jätkäsaari,High,Summer,Weekend,Optimized,Traffic1
Jätkäsaari,High,Summer,Weekend,Optimized,Traffic2
Jätkäsaari,High,Winter,Weekend,Baseline,
Jätkäsaari,High,Winter,Weekend,Optimized,Equal
Jätkäsaari,High,Winter,Weekend,Optimized,Traffic1
Jätkäsaari,High,Winter,Weekend,Optimized,Traffic2
Kamppi,Low,Summer,Weekday,Baseline,
Kamppi,Low,Summer,Weekday,Optimized,Equal
Kamppi,Low,Summer,Weekday,Optimized,Traffic1
Kamppi,Low,Summer,Weekday,Optimized,Traffic2
Kamppi,Low,Summer,Weekend,Baseline,
Kamppi,Low,Summer,Weekend,Optimized,Equal
Kamppi,Low,Summer,Weekend,Optimized,Traffic1
Kamppi,Low,Summer,Weekend,Optimized,Traffic2
Kamppi,Low,Winter,Weekday,Baseline,
Kamppi,Low,Winter,Weekday,Optimized,Equal
Kamppi,Low,Winter,Weekday,Optimized,Traffic1
Kamppi,Low,Winter,Weekday,Optimized,Traffic2
Kamppi,Low,Winter,Weekend,Baseline,
Kamppi,Low,Winter,Weekend,Optimized,Equal
Kamppi,Low,Winter,Weekend,Optimized,Traffic1
Kamppi,Low,Winter,Weekend,Optimized,Traffic2
Kamppi,Regular,Summer,Weekday,Baseline,
Kamppi,Regular,Summer,Weekday,Optimized,Equal
Kamppi,Regular,Summer,Weekday,Optimized,Traffic1
Kamppi,Regular,Summer,Weekday,Optimized,Traffic2
Kamppi,Regular,Summer,Weekend,Baseline,
Kamppi,Regular,Summer,Weekend,Optimized,Equal
Kamppi,Regular,Summer,Weekend,Optimized,Traffic1
Kamppi,Regular,Summer,Weekend,Optimized,Traffic2
Kamppi,Regular,Winter,Weekday,Baseline,
Kamppi,Regular,Winter,Weekday,Optimized,Equal
Kamppi,Regular,Winter,Weekday,Optimized,Traffic1
Kamppi,Regular,Winter,Weekday,Optimized,Traffic2
Kamppi,Regular,Winter,Weekend,Baseline,
Kamppi,Regular,Winter,Weekend,Optimized,Equal
Kamppi,Regular,Winter,Weekend,Optimized,Traffic1
Kamppi,Regular,Winter,Weekend,Optimized,Traffic2
Kamppi,High,Summer,Weekday,Baseline,
Kamppi,High,Summer,Weekday,Optimized,Equal
Kamppi,High,Summer,Weekday,Optimized,Traffic1
Kamppi,High,Summer,Weekday,Optimized,Traffic2
Kamppi,High,Summer,Weekend,Baseline,
Kamppi,High,Summer,Weekend,Optimized,Equal
Kamppi,High,Summer,Weekend,Optimized,Traffic1
Kamppi,High,Summer,Weekend,Optimized,Traffic2
Kamppi,High,Winter,Weekday,Baseline,
Kamppi,High,Winter,Weekday,Optimized,Equal
Kamppi,High,Winter,Weekday,Optimized,Traffic1
Kamppi,High,Winter,Weekday,Optimized,Traffic2
Kamppi,High,Winter,Weekend,Baseline,
Kamppi,High,Winter,Weekend,Optimized,Equal
Kamppi,High,Winter,Weekend,Optimized,Traffic1
Kamppi,High,Winter,Weekend,Optimized,Traffic2
Vihdintie,Low,Summer,Weekday,Baseline,
Vihdintie,Low,Summer,Weekday,Optimized,Equal
Vihdintie,Low,Summer,Weekday,Optimized,Traffic1
Vihdintie,Low,Summer,Weekday,Optimized,Traffic2
Vihdintie,Low,Summer,Weekend,Baseline,
Vihdintie,Low,Summer,Weekend,Optimized,Equal
Vihdintie,Low,Summer,Weekend,Optimized,Traffic1
Vihdintie,Low,Summer,Weekend,Optimized,Traffic2
Vihdintie,Low,Winter,Weekday,Baseline,
Vihdintie,Low,Winter,Weekday,Optimized,Equal
Vihdintie,Low,Winter,Weekday,Optimized,Traffic1
Vihdintie,Low,Winter,Weekday,Optimized,Traffic2
Vihdintie,Low,Winter,Weekend,Baseline,
Vihdintie,Low,Winter,Weekend,Optimized,Equal
Vihdintie,Low,Winter,Weekend,Optimized,Traffic1
Vihdintie,Low,Winter,Weekend,Optimized,Traffic2
Vihdintie,Regular,Summer,Weekday,Baseline,
Vihdintie,Regular,Summer,Weekday,Optimized,Equal
Vihdintie,Regular,Summer,Weekday,Optimized,Traffic1
Vihdintie,Regular,Summer,Weekday,Optimized,Traffic2
Vihdintie,Regular,Summer,Weekend,Baseline,
Vihdintie,Regular,Summer,Weekend,Optimized,Equal
Vihdintie,Regular,Summer,Weekend,Optimized,Traffic1
Vihdintie,Regular,Summer,Weekend,Optimized,Traffic2
Vihdintie,Regular,Winter,Weekday,Baseline,
Vihdintie,Regular,Winter,Weekday,Optimized,Equal
Vihdintie,Regular,Winter,Weekday,Optimized,Traffic1
Vihdintie,Regular,Winter,Weekday,Optimized,Traffic2
