,vehicle_lane,lon,lat,timestep,mobility_mode,vehicle_noise,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,amount
0,-101154827,24.92771090737302,60.16258061095071,0,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-101154827,24.92771090737302,60.16258061095071,0,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-101154827,24.92771090737302,60.16258061095071,1,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-101154827,24.92771090737302,60.16258061095071,1,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-101154827,24.92771090737302,60.16258061095071,2,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-101154827,24.92771090737302,60.16258061095071,2,fuel,70.19322759839908,1324.4099999999999,28209.81,353.21,174.49,1.1,11.0
6,-101154827,24.92771090737302,60.16258061095071,3,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-101154827,24.92771090737302,60.16258061095071,3,fuel,75.48244945656967,3882.81,64337.26,881.71,492.41999999999996,5.91,32.0
8,-101154827,24.92771090737302,60.16258061095071,4,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-101154827,24.92771090737302,60.16258061095071,4,fuel,75.2851778404025,4099.97,63034.37,968.79,456.67,6.53,32.0
10,-101154827,24.92771090737302,60.16258061095071,5,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-101154827,24.92771090737302,60.16258061095071,5,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-101154827,24.92771090737302,60.16258061095071,6,electric,69.04474773862208,0.0,0.0,0.0,0.0,0.9199999999999999,6.0
13,-101154827,24.92771090737302,60.16258061095071,6,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-101154827,24.92771090737302,60.16258061095071,7,electric,71.6773056628074,0.0,0.0,0.0,0.0,2.12,10.0
15,-101154827,24.92771090737302,60.16258061095071,7,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-101154827,24.92771090737302,60.16258061095071,8,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-101154827,24.92771090737302,60.16258061095071,8,fuel,73.3194857738783,2382.45,40203.81,527.75,332.14,3.94,16.0
18,-101154827,24.92771090737302,60.16258061095071,9,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-101154827,24.92771090737302,60.16258061095071,9,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
